Real_Time,Time_Elapsed(s),Lux,Target,Effort,Foil_V,LED_Pct
15:29:49,2531.371,996,1000,112,10.0,21
15:29:49,2531.57,998,1000,112,10.0,21
15:29:49,2531.771,998,1000,112,10.0,21
15:29:49,2531.973,998,1000,112,10.0,21
15:29:50,2532.172,999,1000,112,10.0,21
15:29:50,2532.376,1001,1000,112,10.0,21
15:29:50,2532.576,1002,1000,112,10.0,21
15:29:50,2532.767,996,1000,112,10.0,21
15:29:50,2532.966,998,1000,112,10.0,21
15:29:51,2533.167,1000,1000,112,10.0,21
15:29:51,2533.365,1000,1000,112,10.0,21
15:29:51,2533.569,996,1000,112,10.0,21
15:29:51,2533.769,998,1000,112,10.0,21
15:29:51,2533.973,999,1000,112,10.0,21
15:29:52,2534.165,998,1000,112,10.0,21
15:29:52,2534.363,993,1000,112,10.0,21
15:29:52,2534.563,997,1000,112,10.0,21
15:29:52,2534.762,996,1000,112,10.0,21
15:29:52,2534.962,991,1000,112,10.0,21
15:29:53,2535.165,996,1000,112,10.0,21
15:29:53,2535.365,995,1000,112,10.0,21
15:29:53,2535.566,991,1000,112,10.0,21
15:29:53,2535.767,996,1000,112,10.0,21
15:29:53,2535.958,996,1000,112,10.0,21
15:29:54,2536.161,994,1000,112,10.0,21
15:29:54,2536.36,998,1000,112,10.0,21
15:29:54,2536.561,1002,1000,112,10.0,21
15:29:54,2536.765,1003,1000,112,10.0,21
15:29:54,2536.955,1004,1000,112,10.0,21
15:29:54,2537.157,1004,1000,112,10.0,21
15:29:55,2537.354,1004,1000,112,10.0,21
15:29:55,2537.557,999,1000,112,10.0,21
15:29:55,2537.759,1000,1000,112,10.0,21
15:29:55,2537.961,1001,1000,112,10.0,21
15:29:56,2538.162,999,1000,112,10.0,21
15:29:56,2538.353,994,1000,112,10.0,21
15:29:56,2538.552,999,1000,112,10.0,21
15:29:56,2538.752,996,1000,112,10.0,21
15:29:56,2538.95,1000,1000,112,10.0,21
15:29:56,2539.15,1001,1000,112,10.0,21
15:29:57,2539.353,995,1000,112,10.0,21
15:29:57,2539.554,997,1000,112,10.0,21
15:29:57,2539.753,999,1000,112,10.0,21
15:29:57,2539.955,1000,1000,112,10.0,21
15:29:57,2540.148,995,1000,112,10.0,21
15:29:58,2540.346,997,1000,112,10.0,21
15:29:58,2540.546,999,1000,112,10.0,21
15:29:58,2540.746,1000,1000,112,10.0,21
15:29:58,2540.946,994,1000,112,10.0,21
15:29:58,2541.145,998,1000,112,10.0,21
15:29:59,2541.346,1001,1000,112,10.0,21
15:29:59,2541.545,996,1000,112,10.0,21
15:29:59,2541.746,997,1000,112,10.0,21
15:29:59,2541.947,998,1000,112,10.0,21
15:29:59,2542.149,999,1000,112,10.0,21
15:30:00,2542.351,997,1000,112,10.0,21
15:30:00,2542.541,999,1000,112,10.0,21
15:30:00,2542.741,1000,1000,112,10.0,21
15:30:00,2542.94,1001,1000,112,10.0,21
15:30:00,2543.139,995,1000,112,10.0,21
15:30:01,2543.34,996,1000,112,10.0,21
15:30:01,2543.541,998,1000,112,10.0,21
15:30:01,2543.742,998,1000,112,10.0,21
15:30:01,2543.943,995,1000,112,10.0,21
15:30:01,2544.143,997,1000,112,10.0,21
