Real_Time,Time_Elapsed(s),Lux,Target,Effort,Foil_V,LED_Pct
17:17:21,8983.943,1004,1000,107,10,16
17:17:21,8984.136,1005,1000,107,10,16
17:17:22,8984.344,1006,1000,107,10,16
17:17:22,8984.536,1001,1000,107,10,16
17:17:22,8984.744,1002,1000,107,10,16
17:17:22,8984.936,1004,1000,107,10,16
17:17:22,8985.143,1003,1000,107,10,16
17:17:23,8985.334,1002,1000,107,10,16
17:17:23,8985.542,1006,1000,107,10,16
17:17:23,8985.734,1001,1000,107,10,16
17:17:23,8985.942,1003,1000,107,10,16
17:17:23,8986.134,1004,1000,107,10,16
17:17:24,8986.342,1005,1000,107,10,16
17:17:24,8986.532,1003,1000,107,10,16
17:17:24,8986.74,1004,1000,107,10,16
17:17:24,8986.932,1005,1000,107,10,16
17:17:24,8987.139,1007,1000,107,10,16
17:17:25,8987.332,1007,1000,107,10,16
17:17:25,8987.539,1004,1000,107,10,16
17:17:25,8987.729,1005,1000,107,10,16
17:17:25,8987.938,1006,1000,107,10,16
17:17:25,8988.13,1005,1000,107,10,16
17:17:26,8988.338,1000,1000,107,10,16
17:17:26,8988.531,1002,1000,107,10,16
17:17:26,8988.723,1004,1000,107,10,16
17:17:26,8988.93,1005,1000,107,10,16
17:17:26,8989.122,1003,1000,107,10,16
17:17:27,8989.33,998,1000,107,10,16
17:17:27,8989.521,1001,1000,107,10,16
17:17:27,8989.728,1002,1000,107,10,16
17:17:27,8989.935,1004,1000,107,10,16
17:17:27,8990.127,999,1000,107,10,16
17:17:28,8990.319,999,1000,107,10,16
17:17:28,8990.526,1001,1000,107,10,16
17:17:28,8990.718,1002,1000,107,10,16
17:17:28,8990.927,1000,1000,107,10,16
17:17:28,8991.118,1000,1000,107,10,16
17:17:29,8991.324,1000,1000,107,10,16
17:17:29,8991.515,1001,1000,107,10,16
17:17:29,8991.722,1002,1000,107,10,16
17:17:29,8991.914,1007,1000,107,10,15
17:17:29,8992.122,1016,1000,106,10,15
17:17:30,8992.313,1025,1000,106,10,14
17:17:30,8992.52,1031,1000,106,10,14
17:17:30,8992.712,1038,1000,106,10,14
17:17:30,8992.92,1052,1000,106,10,13
17:17:30,8993.112,1065,1000,105,10,12
17:17:31,8993.319,1072,1000,105,10,11
17:17:31,8993.511,1079,1000,105,10,11
17:17:31,8993.719,1084,1000,104,10,10
17:17:31,8993.91,1081,1000,104,10,10
17:17:31,8994.118,1079,1000,103,10,0
17:17:32,8994.309,1075,1000,103,9.9,0
17:17:32,8994.517,1070,1000,103,9.9,0
17:17:32,8994.708,1006,1000,103,10,12
17:17:32,8994.917,956,1000,103,10,14
17:17:32,8995.108,964,1000,103,10,14
17:17:33,8995.315,1009,1000,103,10,12
17:17:33,8995.507,1046,1000,103,10,10
17:17:33,8995.712,1071,1000,102,9.8,0
17:17:33,8995.918,1074,1000,102,9.6,0
17:17:33,8996.109,1076,1000,102,9.4,0
17:17:34,8996.315,1076,1000,101,9.3,0
17:17:34,8996.505,1014,1000,101,10,10
17:17:34,8996.711,965,1000,101,10,13
17:17:34,8996.903,941,1000,102,10,14
17:17:34,8997.11,987,1000,102,10,12
17:17:35,8997.299,1028,1000,102,10,10
17:17:35,8997.506,1050,1000,101,9.7,0
17:17:35,8997.713,1066,1000,101,9.3,0
17:17:35,8997.903,1069,1000,101,9.2,0
17:17:35,8998.11,1035,1000,100,9.7,0
17:17:36,8998.302,982,1000,101,10,11
17:17:36,8998.509,940,1000,101,10,13
17:17:36,8998.702,949,1000,101,10,13
17:17:36,8998.909,988,1000,101,10,11
17:17:36,8999.101,1023,1000,101,10,10
17:17:37,8999.309,1047,1000,101,9.6,0
17:17:37,8999.5,1061,1000,100,9.3,0
17:17:37,8999.707,1064,1000,100,9.1,0
17:17:37,8999.899,1006,1000,100,10,10
17:17:37,9000.108,960,1000,100,10,12
17:17:38,9000.299,923,1000,101,10,14
17:17:38,9000.507,972,1000,101,10,12
17:17:38,9000.699,1016,1000,101,10,10
17:17:38,9000.907,1042,1000,101,9.6,0
17:17:38,9001.1,1054,1000,100,9.3,0
17:17:39,9001.291,1070,1000,100,8.9,0
17:17:39,9001.498,1097,1000,99,8.3,0
17:17:39,9001.691,1080,1000,99,8.4,0
17:17:39,9001.898,1076,1000,99,8.4,0
17:17:39,9002.092,1081,1000,98,8.1,0
17:17:40,9002.298,1086,1000,98,7.9,0
17:17:40,9002.492,1092,1000,97,7.6,0
17:17:40,9002.696,1096,1000,97,7.4,0
17:17:40,9002.893,1100,1000,96,7.2,0
17:17:40,9003.093,1102,1000,96,6.9,0
17:17:41,9003.3,1103,1000,95,6.7,0
17:17:41,9003.493,1104,1000,95,6.5,0
17:17:41,9003.698,1104,1000,94,6.5,0
17:17:41,9003.889,1104,1000,94,6.4,0
17:17:41,9004.097,1104,1000,93,6.3,0
17:17:42,9004.289,1103,1000,93,6.3,0
17:17:42,9004.498,1103,1000,92,6.2,0
17:17:42,9004.687,1102,1000,92,6.2,0
17:17:42,9004.896,1102,1000,91,6.1,0
17:17:42,9005.089,1100,1000,91,6.1,0
17:17:43,9005.28,1099,1000,90,6,0
17:17:43,9005.488,1098,1000,90,6,0
17:17:43,9005.679,1097,1000,89,5.9,0
17:17:43,9005.888,1096,1000,89,5.9,0
17:17:43,9006.081,1095,1000,88,5.8,0
17:17:44,9006.289,1094,1000,88,5.8,0
17:17:44,9006.482,1093,1000,87,5.7,0
17:17:44,9006.69,1092,1000,87,5.7,0
17:17:44,9006.881,1091,1000,86,5.7,0
17:17:44,9007.089,1090,1000,86,5.6,0
17:17:45,9007.279,1089,1000,85,5.6,0
17:17:45,9007.487,1088,1000,85,5.5,0
17:17:45,9007.679,1088,1000,85,5.5,0
17:17:45,9007.885,1087,1000,84,5.4,0
17:17:45,9008.076,1086,1000,84,5.4,0
17:17:46,9008.283,1085,1000,83,5.4,0
17:17:46,9008.475,1085,1000,83,5.4,0
17:17:46,9008.682,1084,1000,82,5.3,0
17:17:46,9008.873,1084,1000,82,5.3,0
17:17:46,9009.079,1084,1000,82,5.3,0
17:17:47,9009.286,1084,1000,81,5.3,0
17:17:47,9009.479,1083,1000,81,5.3,0
17:17:47,9009.671,1082,1000,80,5.3,0
17:17:47,9009.879,1081,1000,80,5.3,0
17:17:47,9010.07,1081,1000,80,5.2,0
17:17:48,9010.279,1080,1000,79,5.2,0
17:17:48,9010.468,1080,1000,79,5.2,0
17:17:48,9010.675,1079,1000,78,5.2,0
17:17:48,9010.866,1079,1000,78,5.2,0
17:17:48,9011.073,1078,1000,78,5.2,0
17:17:49,9011.279,1078,1000,77,5.1,0
17:17:49,9011.472,1078,1000,77,5.1,0
17:17:49,9011.675,1077,1000,76,5.1,0
17:17:49,9011.867,1077,1000,76,5.1,0
17:17:49,9012.073,1076,1000,76,5.1,0
17:17:50,9012.264,1075,1000,75,5.1,0
17:17:50,9012.47,1074,1000,75,5.1,0
17:17:50,9012.677,1073,1000,75,5.1,0
17:17:50,9012.872,1072,1000,74,5,0
17:17:50,9013.063,1071,1000,74,5,0
17:17:51,9013.27,1070,1000,73,5,0
17:17:51,9013.461,1069,1000,73,5,0
17:17:51,9013.67,1068,1000,73,5,0
17:17:51,9013.861,1068,1000,72,5,0
17:17:51,9014.068,1067,1000,72,5,0
17:17:52,9014.259,1066,1000,72,5,0
17:17:52,9014.469,1065,1000,71,4.9,0
17:17:52,9014.658,1065,1000,71,4.9,0
17:17:52,9014.866,1064,1000,71,4.9,0
17:17:52,9015.058,1063,1000,70,4.9,0
17:17:53,9015.265,1062,1000,70,4.9,0
17:17:53,9015.457,1060,1000,70,4.9,0
17:17:53,9015.664,1059,1000,70,4.9,0
17:17:53,9015.856,1057,1000,69,4.9,0
17:17:53,9016.065,1056,1000,69,4.9,0
17:17:54,9016.257,1054,1000,69,4.9,0
17:17:54,9016.466,1053,1000,68,4.9,0
17:17:54,9016.658,1052,1000,68,4.8,0
17:17:54,9016.865,1051,1000,68,4.8,0
17:17:54,9017.056,1049,1000,68,4.8,0
17:17:55,9017.264,1048,1000,67,4.8,0
17:17:55,9017.455,1047,1000,67,4.8,0
17:17:55,9017.664,1046,1000,67,4.8,0
17:17:55,9017.856,1046,1000,67,4.8,0
17:17:55,9018.048,1045,1000,66,4.8,0
17:17:56,9018.254,1044,1000,66,4.8,0
17:17:56,9018.461,1043,1000,66,4.8,0
17:17:56,9018.653,1043,1000,66,4.8,0
17:17:56,9018.86,1042,1000,66,4.8,0
17:17:56,9019.053,1042,1000,65,4.8,0
17:17:57,9019.26,1041,1000,65,4.7,0
17:17:57,9019.451,1041,1000,65,4.7,0
17:17:57,9019.658,1040,1000,65,4.7,0
17:17:57,9019.848,1040,1000,65,4.7,0
17:17:57,9020.055,1040,1000,64,4.7,0
17:17:58,9020.246,1040,1000,64,4.7,0
17:17:58,9020.457,1040,1000,64,4.7,0
17:17:58,9020.647,1039,1000,64,4.7,0
17:17:58,9020.854,1038,1000,64,4.7,0
17:17:58,9021.046,1037,1000,63,4.7,0
17:17:59,9021.254,1036,1000,63,4.7,0
17:17:59,9021.446,1036,1000,63,4.7,0
17:17:59,9021.654,1035,1000,63,4.7,0
17:17:59,9021.846,1035,1000,63,4.7,0
17:17:59,9022.053,1035,1000,62,4.6,0
17:18:00,9022.245,1035,1000,62,4.6,0
17:18:00,9022.452,1035,1000,62,4.6,0
17:18:00,9022.644,1035,1000,62,4.6,0
17:18:00,9022.836,1035,1000,62,4.6,0
17:18:00,9023.043,1036,1000,62,4.6,0
17:18:01,9023.235,1036,1000,61,4.6,0
17:18:01,9023.441,1036,1000,61,4.6,0
17:18:01,9023.647,1037,1000,61,4.6,0
17:18:01,9023.836,1037,1000,61,4.6,0
